Player,PER▼,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Kelly Oubre Jr.,15.2,0.551,23.2,0.9,1.3,2.2,-0.3,-0.9,-1.2,0.4
Wendell Carter Jr.,15.2,0.541,19.1,0.7,1.2,1.9,-2.2,0.6,-1.6,0.1
Aaron Gordon,15.1,0.538,21.8,1.8,3.3,5.1,0.3,0.3,0.6,1.7
J.J. Redick,15.1,0.602,21.9,4.6,1.2,5.9,2.2,-2,0.2,1.3
Jayson Tatum,15.1,0.547,22.1,1.6,3.4,5,-0.4,0.2,-0.2,1.1
Drew Eubanks,15.1,0.646,15.5,0.1,0.2,0.3,-1.9,0.7,-1.3,0
Johnathan Williams,15.1,0.599,16.4,0.7,0.3,1,-2,-1.1,-3.2,-0.1
Mo Bamba,14.9,0.539,17.8,0.3,1.4,1.7,-2.8,1.4,-1.4,0.1
Caris LeVert,14.9,0.509,24,0.5,1.2,1.7,-0.3,0.5,0.2,0.6
Derrick White,14.8,0.555,17.7,1.7,1.9,3.6,-0.4,1.3,0.9,1.3
Luke Kornet,14.8,0.531,17.9,0.6,0.7,1.4,1.4,0.7,2.1,0.8
Michael Carter-Williams,14.7,0.458,19.4,0.2,0.6,0.8,-1.4,2.2,0.8,0.3
JaMychal Green,14.7,0.587,19.4,0.9,1.9,2.9,-1.3,-0.4,-1.7,0.1
Brook Lopez,14.6,0.597,16.7,2.3,4.3,6.7,0.4,1.8,2.2,2.4
Emmanuel Mudiay,14.6,0.531,25.6,0.1,0.7,0.8,-0.2,-1.8,-2,0
Luol Deng,14.6,0.588,15.8,0.5,0.3,0.8,0.2,-0.3,0,0.2
Ray Spalding,14.6,0.516,17.8,0,0.2,0.2,-4.3,-0.8,-5.1,-0.1
Kelly Olynyk,14.4,0.61,18,2.3,2.5,4.7,-0.2,0.9,0.7,1.2
Bismack Biyombo,14.4,0.602,12.7,1.2,0.8,2,-2.4,0,-2.5,-0.1
Harry Giles,14.4,0.526,23.2,0,1,1,-3.4,0.4,-3,-0.2
Jordan McRae,14.3,0.55,20.4,0.3,0.2,0.5,-0.9,-0.8,-1.7,0
Brad Wanamaker,14.3,0.597,17.1,0.6,0.4,1,-1.3,0.7,-0.7,0.1
Malik Beasley,14.2,0.599,18.7,2.9,1.6,4.5,0.8,-0.7,0.1,1
