FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Russell Westbrook,36,30.9,0.658,0.29,0.468,22.9,11.1,10.7,1.95,0.45,4.44,15.5,105.2,97.2
Giannis Antetokounmpo,32.8,32.3,0.729,0.256,0.599,27.7,12.5,5.9,1.26,1.53,3.71,15.5,121.6,93.9
Nikola Jokic,31.3,27.4,0.821,0.307,0.545,20.1,10.8,7.3,1.35,0.69,3.1,14.9,119.2,99
LeBron James,35.2,31.6,0.665,0.339,0.56,27.4,8.4,8.3,1.31,0.6,3.58,14.1,114.4,106.2
James Harden,36.8,40.5,0.879,0.368,0.541,36.1,6.6,7.5,2.05,0.73,4.96,13.2,118.6,103.5
Joel Embiid,33.7,33.3,0.804,0.3,0.517,27.5,13.6,3.7,0.72,1.91,3.55,13.2,113.7,98.7
Anthony Davis,33,29.5,0.794,0.331,0.54,25.9,12,3.9,1.57,2.41,2.02,12.9,122.1,104.5
Troy Caupain,3.9,22.3,0,0.667,0.625,2.5,0.8,1,0.25,0,0,12.9,,
Nikola Vucevic,31.4,28,0.789,0.364,0.549,20.8,12,3.8,1.01,1.14,1.99,12.5,115.4,101
Luka Doncic,32.2,30.5,0.713,0.326,0.497,21.2,7.8,6,1.08,0.35,3.42,12.4,106.9,105.1
Ben Simmons,34.2,22.1,0.6,0,0.563,16.9,8.8,7.7,1.42,0.77,3.47,12.2,113.8,103.1
DeMarcus Cousins,25.7,28.1,0.736,0.274,0.515,16.3,8.2,3.6,1.33,1.47,2.4,12.2,108.9,93.9
Karl-Anthony Towns,33,29,0.836,0.4,0.572,24.4,12.4,3.4,0.88,1.62,3.13,12.2,118.5,100.6
Emanuel Terry,3.3,24.4,0.5,0,0,1,1,1,0,0,0,12.1,,
Jusuf Nurkic,27.4,24.7,0.773,0.103,0.51,15.6,10.4,3.2,0.97,1.43,2.33,11.7,116.5,96.7
Domantas Sabonis,24.8,23.5,0.715,0.529,0.595,14.1,9.4,2.9,0.68,0.41,2.16,11.7,118.5,92.8
Greg Monroe,17.5,23,0.909,1,0.674,13.7,4.3,2.3,0.33,0,0.33,11.7,154.5,103.3
Kevin Durant,34.6,29,0.885,0.353,0.571,26,6.4,5.9,0.76,1.08,2.87,11.5,120.9,107.9
Kyrie Irving,33,29.6,0.873,0.401,0.557,23.8,5,6.9,1.55,0.51,2.57,11.4,117.9,104
Blake Griffin,35,30.2,0.753,0.362,0.532,24.5,7.5,5.4,0.69,0.37,3.37,11.4,112.9,104
Boban Marjanovic,13.9,21.7,0.722,0.5,0.642,8.2,5.1,1.5,0.23,0.45,1,11.4,125,99.7
Gary Payton II,5.3,24,0,0.5,0.688,3.7,0.7,1.3,1,0.33,0.33,11.3,135.4,97.7
Jonas Valanciunas,27.7,31.4,0.769,0.278,0.554,19.9,10.7,2.2,0.32,1.58,2.68,11.2,109.4,96.5
D'Angelo Russell,30.2,31.9,0.78,0.369,0.512,21.1,3.9,7,1.22,0.25,3.12,11,106.8,107
DeAndre Jordan,26,16.8,0.773,0,0.634,10.9,11.3,3,0.47,1.05,2.21,11,125.3,103.8
Pau Gasol,12.2,15.8,0.711,0.5,0.494,4.2,4.7,1.9,0.19,0.52,0.52,11,120.4,101.1
Julius Randle,30.6,27.8,0.731,0.344,0.556,21.4,8.7,3.1,0.71,0.62,2.85,10.9,113.5,103.5
Kevin Love,27.2,27.4,0.904,0.361,0.479,17,10.9,2.2,0.27,0.27,1.91,10.9,112.4,105.9
J.J. Barea,19.8,28.1,0.705,0.297,0.468,10.9,2.5,5.6,0.58,0,1.89,10.8,105.1,107.2
Stephen Curry,33.8,30.4,0.916,0.437,0.604,27.3,5.3,5.2,1.33,0.38,2.78,10.8,119.9,106.3
Kyle O'Quinn,8.2,20.8,0.81,0.083,0.511,3.5,2.6,1.2,0.2,0.56,0.69,10.8,106.5,87.9
Trae Young,30.9,28.4,0.829,0.324,0.48,19.1,3.7,8.1,0.86,0.19,3.8,10.7,107.5,114.2
Joakim Noah,16.5,20.1,0.716,0,0.516,7.1,5.7,2.1,0.48,0.74,1.19,10.7,113.8,94.2
DeMar DeRozan,34.9,27.9,0.831,0.156,0.483,21.2,6,6.2,1.12,0.47,2.57,10.6,110,106.4
Paul George,36.9,29.5,0.84,0.386,0.529,28,8.1,4.1,2.21,0.44,2.66,10.6,116.5,100.8
Chris Paul,32,22.5,0.862,0.358,0.508,15.6,4.6,8.2,1.97,0.31,2.6,10.5,118.5,104.9
Damian Lillard,35.5,29.3,0.912,0.369,0.522,25.8,4.6,6.9,1.11,0.41,2.65,10.5,121.5,109.1
DeVaughn Akoon-Purcell,3.1,25.5,0.5,0,0.3,1,0.6,0.9,0.29,0,0.29,10.5,,
Jrue Holiday,35.8,25.5,0.768,0.325,0.523,21.2,5,7.7,1.64,0.81,3.16,10.4,110.9,110.1
Mitchell Creek,8.9,15.4,0.714,0,0.5,3.8,2.5,1.3,0.25,0,0,10.4,145.4,104
Devin Booker,35,32.9,0.866,0.326,0.521,26.6,4.1,6.8,0.88,0.2,4.13,10.3,109.4,111.8
Lou Williams,26.6,32.5,0.876,0.36,0.471,20,3,5.3,0.75,0.15,2.41,10.3,111.8,112.1
Victor Oladipo,31.9,27.9,0.73,0.343,0.486,18.8,5.6,5.2,1.67,0.31,2.28,10.3,104.1,102.3
Marc Gasol,33.7,22.2,0.756,0.344,0.499,15.7,8.6,4.7,1.13,1.21,2.25,10.2,106.6,101.5
Enes Kanter,25.6,22.9,0.814,0.318,0.544,14,10.5,1.9,0.41,0.41,1.8,10.2,117.7,104.5
Elfrid Payton,29.8,18.3,0.743,0.314,0.475,10.6,5.3,7.6,1.05,0.4,2.67,10.1,105.8,109.6
Eric Bledsoe,29.1,22.9,0.75,0.329,0.547,15.9,4.6,5.5,1.51,0.37,2.12,10.1,115.8,101
Kawhi Leonard,34,30.3,0.854,0.371,0.546,26.6,7.3,3.3,1.77,0.42,2.02,10.1,119.8,104.6
Mason Plumlee,21.1,16.2,0.561,0.2,0.595,7.8,6.4,3,0.79,0.93,1.55,10.1,117.3,94.5
John Wall,34.5,28.8,0.697,0.302,0.491,20.7,3.6,8.7,1.53,0.91,3.81,10,104.1,111.5
De'Aaron Fox,31.4,24.5,0.727,0.371,0.497,17.3,3.8,7.3,1.64,0.56,2.8,10,109.9,107.1
Kemba Walker,34.9,31.5,0.844,0.356,0.511,25.6,4.4,5.9,1.24,0.41,2.57,10,112.3,111.3
Khris Middleton,31.1,25.1,0.837,0.378,0.519,18.3,6,4.3,1.04,0.09,2.26,10,108.9,100.7
Michael Carter-Williams,18.9,16.1,0.741,0.158,0.363,5.4,4.8,4.1,0.92,0.83,0.83,10,111.5,99.5
Marc Gasol,24.9,16.3,0.769,0.442,0.527,9.1,6.7,3.9,0.92,0.88,1.38,10,116.5,96.9
Kyle Lowry,34.1,19.6,0.83,0.347,0.518,14.2,4.8,8.7,1.4,0.48,2.8,9.9,114.8,103.3
Al Horford,29,19,0.825,0.36,0.586,13.6,6.7,4.1,0.85,1.26,1.5,9.9,122.2,104.7
Rajon Rondo,29.8,17.4,0.639,0.359,0.464,9.2,5.3,8,1.2,0.15,2.76,9.8,100.5,105.2
Walter Lemon Jr.,27.9,26.6,0.727,0.4,0.448,14.3,4.5,5,1.83,0.17,1.67,9.8,98.8,105.7
Johnathan Motley,7.1,28.8,0.6,0,0.534,4.6,2.3,0.5,0.23,0.14,0.73,9.8,106.7,94.7
Jabari Parker,27.3,23.9,0.684,0.296,0.565,15,7.2,2.7,0.92,0.64,2.68,9.7,105,106.5
John Collins,30,23.7,0.766,0.348,0.593,19.5,9.8,2,0.36,0.64,1.95,9.7,122.1,106.4
Harry Giles III,14.1,23.2,0.637,0,0.503,7,3.8,1.5,0.53,0.38,1.26,9.7,101.8,94.4
Enes Kanter,22.2,23.4,0.735,0.25,0.584,13.1,8.6,1.4,0.61,0.39,1.7,9.7,121.8,99.1
Willy Hernangomez,14,22.2,0.694,0.385,0.542,7.3,5.4,1,0.28,0.36,1,9.7,118.5,100.6
Bradley Beal,36.9,28.4,0.808,0.351,0.54,25.6,5,5.5,1.5,0.7,2.72,9.6,113.6,110.2
Dwyane Wade,26.2,27.9,0.708,0.33,0.479,15,4,4.2,0.82,0.53,2.31,9.6,102.4,105.9
Jonas Valanciunas,18.8,25.9,0.819,0.3,0.595,12.8,7.2,1,0.4,0.77,1.33,9.6,121.3,92.1
Boban Marjanovic,11.1,24.6,0.758,0,0.607,7.1,4.5,0.6,0.29,0.5,1.09,9.6,123.3,95.9
Ivica Zubac,20.1,20.1,0.733,0,0.538,9.4,7.7,1.5,0.38,0.92,1.42,9.5,114,99.1
Ricky Rubio,27.9,22.7,0.855,0.311,0.458,12.7,3.6,6.1,1.35,0.15,2.65,9.4,105.1,99
Larry Nance Jr.,26.8,15.5,0.716,0.337,0.554,9.4,8.2,3.2,1.49,0.6,1.45,9.4,120.4,104.5
LaMarcus Aldridge,33.2,27,0.847,0.238,0.522,21.3,9.2,2.4,0.54,1.32,1.78,9.4,117.8,106.4
Michael Beasley,10.7,29.4,0.718,0.176,0.5,7,2.3,1,0.35,0.38,1.04,9.4,98.8,96.9
Rudy Gay,26.7,22.1,0.816,0.402,0.554,13.7,6.8,2.6,0.78,0.49,1.64,9.3,111.5,102.6
Rudy Gobert,31.8,17.8,0.636,0,0.669,15.9,12.8,2,0.81,2.3,1.6,9.3,133.8,96.7
Skal Labissiere,7,17.1,0.5,1,0.737,3.4,2.1,0.6,0.33,0.33,0.44,9.3,129,96.9
Draymond Green,31.3,13.1,0.692,0.285,0.501,7.4,7.3,6.9,1.44,1.08,2.56,9.2,107.9,101.2
Mike Conley,33.5,27.3,0.845,0.364,0.507,21.1,3.4,6.4,1.34,0.31,1.86,9.2,117.1,108.6
Delon Wright,30.8,19.2,0.742,0.256,0.472,12.2,5.5,5.3,1.62,0.58,1.54,9.2,111.2,105.1
Zach LaVine,34.5,30.5,0.832,0.374,0.52,23.7,4.7,4.5,0.95,0.41,3.43,9.2,106.2,110.7
Amir Johnson,10.4,17.4,0.756,0.3,0.541,3.9,2.9,1.2,0.31,0.27,0.88,9.2,109.1,92.7
Willie Cauley-Stein,27.3,17.5,0.551,0.5,0.557,11.9,8.4,2.4,1.19,0.63,1.04,9.1,118.5,101.7
Montrezl Harrell,26.3,23.5,0.643,0.176,0.617,16.6,6.5,2,0.85,1.34,1.61,9.1,122.9,101.7
John Henson,13.5,18.5,0.6,0.355,0.545,5.6,5.1,1,0.5,0.79,0.86,9.1,108.8,95.9
PJ Dozier,8.5,18.6,0.5,0.25,0.429,3.2,2.8,0.8,0.33,0,0,9.1,112.8,105.6
Evan Turner,22,15.9,0.708,0.208,0.472,6.8,4.5,3.9,0.45,0.25,1.56,9,104.5,106
Jeremy Lin,19.7,22.6,0.845,0.333,0.523,10.7,2.3,3.5,0.75,0.14,1.92,9,112.5,109.1
Pascal Siakam,31.8,20.8,0.785,0.369,0.591,16.9,6.9,3.1,0.93,0.64,1.91,9,120.7,100.6
Danilo Gallinari,30.3,23.8,0.904,0.432,0.554,19.8,6.1,2.6,0.72,0.34,1.44,9,125.1,107.6
Bam Adebayo,23.3,15.8,0.735,0.2,0.579,8.9,7.3,2.2,0.88,0.79,1.48,9,120,97.2
Justise Winslow,29.7,20.8,0.628,0.375,0.497,12.6,5.4,4.3,1.09,0.29,2.15,8.9,102.6,101.5
Aaron Gordon,33.8,21.8,0.731,0.349,0.507,16,7.3,3.7,0.73,0.72,2.08,8.9,107.3,104.6
Jamal Murray,32.6,24.9,0.848,0.367,0.502,18.2,4.2,4.8,0.89,0.36,2.11,8.8,109.8,107.4
Donovan Mitchell,33.7,31.6,0.806,0.362,0.493,23.8,4.1,4.2,1.38,0.4,2.83,8.8,104.6,101.3
Jimmy Butler,33.2,22.1,0.868,0.34,0.494,18.2,5.3,4,1.8,0.53,1.45,8.8,120.8,107.4
Caris LeVert,26.6,24,0.691,0.312,0.477,13.7,3.8,3.9,1.05,0.35,1.73,8.8,105.2,105.4
Tim Frazier,17.6,17.4,0.692,0.417,0.5,6.3,2.6,3.5,0.42,0.08,1.33,8.8,109.2,101.1
Tobias Harris,34.6,23.5,0.877,0.434,0.562,20.9,7.8,2.7,0.73,0.44,1.98,8.8,114.8,106.7
Raul Neto,12.8,19,0.848,0.333,0.522,5.3,1.7,2.5,0.38,0.11,0.95,8.8,111.2,99.1
Lance Stephenson,16.5,20.3,0.685,0.371,0.51,7.2,3.2,2.1,0.6,0.1,1.25,8.8,101.2,102.4
Caleb Swanigan,11,14.9,0,0,0.444,2.7,4,1.3,0.67,0.33,0.67,8.8,96.8,91.7
Lonzo Ball,30.3,16.9,0.417,0.329,0.488,9.9,5.3,5.4,1.47,0.4,2.19,8.7,100.6,104.3
Jimmy Butler,36.1,23,0.787,0.378,0.525,21.3,5.2,4.3,2.4,1,1.4,8.7,121.7,110.4
Derrick Rose,27.3,27.3,0.856,0.37,0.518,18,2.7,4.3,0.59,0.24,1.61,8.7,113.6,114.7
Kadeem Allen,21.9,19.6,0.778,0.472,0.525,9.9,2.7,4,0.84,0.21,1.42,8.7,116.2,105.7
Gordon Hayward,25.9,19,0.834,0.333,0.527,11.5,4.5,3.4,0.82,0.32,1.46,8.7,114.4,106.4
Jabari Parker,26.7,25,0.731,0.325,0.514,14.3,6.2,2.2,0.62,0.36,2.15,8.7,100.6,106.9
Tristan Thompson,27.9,17.7,0.642,0,0.529,10.9,10.2,2,0.63,0.37,1.37,8.7,118,110.1
Deandre Ayton,30.7,21.2,0.746,0,0.585,16.3,10.3,1.8,0.87,0.94,1.77,8.7,117.7,106.6
Salah Mejri,11.1,15.8,0.625,0.324,0.54,3.9,3.6,1,0.28,0.75,0.58,8.7,114.7,96.3
Justin Patton,6.9,16,0.5,0,0.286,1.7,2,1,0.67,0,0,8.7,99.6,83
Kris Dunn,30.2,20.1,0.797,0.354,0.458,11.3,4.1,6,1.48,0.46,2.26,8.6,98.9,103.2
Goran Dragic,27.5,23.7,0.782,0.35,0.48,13.7,3.1,4.8,0.83,0.14,1.97,8.6,106.6,104.5
DeAndre Jordan,31.1,14.4,0.682,0,0.644,11,13.7,2,0.64,1.06,2.22,8.6,121.4,100
Andre Drummond,33.5,23,0.59,0.132,0.535,17.3,15.6,1.4,1.73,1.76,2.22,8.6,113.1,95.5
Miles Plumlee,9.6,16.7,0.533,0,0.667,4.4,2.2,0.9,0.33,0.22,0.56,8.6,125.4,110
Jordan Loyd,4.6,19.5,0.818,0.5,0.556,2.4,0.8,0.5,0,0,0.17,8.6,129.7,103.4
Dennis Smith Jr.,28.6,27,0.568,0.289,0.454,14.7,2.8,5.4,1.29,0.43,2.57,8.5,96.6,109.7
Emmanuel Mudiay,27.2,25.6,0.774,0.33,0.493,14.8,3.3,3.9,0.73,0.32,2.39,8.5,102.3,111.5
Malcolm Brogdon,28.6,20.7,0.928,0.426,0.576,15.6,4.5,3.2,0.72,0.19,1.44,8.5,120.9,104.1
Tobias Harris,35,21.3,0.841,0.326,0.524,18.2,7.9,2.9,0.41,0.48,1.56,8.5,112.5,106.3
Marcin Gortat,16,14.5,0.729,0,0.532,5,5.6,1.4,0.13,0.51,1.06,8.5,110.8,99.9
Thomas Bryant,20.8,17.7,0.781,0.333,0.647,10.5,6.3,1.3,0.35,0.93,0.83,8.5,130.5,106.9
Bobby Portis,24.1,26.5,0.78,0.375,0.5,14.1,7.2,1.3,0.5,0.36,1.32,8.5,105.6,102.9
Andrew Bogut,12.2,14.4,1,0,0.5,3.5,5,1,0.27,0.73,0.73,8.5,107.8,91.6
Tony Parker,17.9,25.5,0.734,0.255,0.474,9.5,1.5,3.7,0.38,0.13,1.34,8.4,105.8,112.5
Paul Millsap,27.1,19.6,0.727,0.365,0.527,12.6,7.2,2,1.17,0.77,1.36,8.4,116.3,100.2
Zaza Pachulia,12.9,15,0.782,0,0.443,3.9,3.9,1.3,0.46,0.25,0.85,8.4,114.3,92.1
Frank Kaminsky,16.1,22.1,0.738,0.36,0.545,8.6,3.5,1.3,0.26,0.28,0.87,8.4,115.5,106.2
Jason Smith,10.8,16.1,0.833,0.4,0.459,3.7,3.1,1,0.08,0.42,0.58,8.4,110.4,100
Tyson Chandler,12.7,13,0.556,0,0.667,3.7,5.6,0.9,0.29,0.14,1,8.4,112.3,87.5
Gorgui Dieng,13.6,19.6,0.83,0.339,0.527,6.4,4.1,0.9,0.62,0.54,0.75,8.4,114.4,99.4
Jeff Teague,30.1,19.3,0.804,0.333,0.465,12.1,2.5,8.2,1.05,0.43,2.31,8.3,112.4,110.8
Darren Collison,28.2,17.7,0.832,0.407,0.527,11.2,3,6,1.45,0.12,1.63,8.3,118.4,104.3
Joe Ingles,31.3,17.5,0.707,0.391,0.565,12.1,4,5.7,1.18,0.24,2.35,8.3,110.7,102.1
Tim Frazier,19.3,12.3,0.78,0.351,0.521,5,2.9,4.4,0.53,0.09,1.26,8.3,115.9,106.7
Dennis Schroder,29.3,24.2,0.819,0.341,0.47,15.5,3.6,4.1,0.81,0.15,2.16,8.3,103,104
RJ Hunter,25.7,23.3,0.5,0.4,0.615,17,3,3,1,0,0,8.3,131.3,101.2
Frank Mason,11.5,21.8,0.684,0.219,0.462,5.1,1.2,2.2,0.42,0.11,0.95,8.3,101.9,108.6
Cody Zeller,25.4,16.2,0.787,0.273,0.559,10.1,6.8,2.1,0.78,0.86,1.24,8.3,123.7,100.3
Bobby Portis,27.4,23.3,0.809,0.403,0.507,14.3,8.6,1.5,0.86,0.46,1.61,8.3,104.6,103.4
Meyers Leonard,14.4,14.8,0.843,0.45,0.649,5.9,3.8,1.2,0.21,0.15,0.7,8.3,129.2,100.1
Jaylen Morris,7.1,17.5,0.5,0.333,0.45,2.5,1.3,1,0.5,0,0.25,8.3,99.9,102.1
Ivica Zubac,15.6,20.5,0.864,0,0.58,8.5,4.9,0.8,0.15,0.82,1,8.3,120.7,97.9
Hassan Whiteside,23.3,22.6,0.449,0.125,0.571,12.3,11.4,0.8,0.64,1.89,1.33,8.3,112.4,93.5
Thomas Welsh,3.3,17.5,0.5,0.429,0.654,1.6,0.4,0.5,0,0,0.09,8.3,,
Bogdan Bogdanovic,27.8,22.3,0.827,0.36,0.496,14.1,3.5,3.8,1.03,0.21,1.67,8.2,106.9,108.7
Terry Rozier,22.7,18.6,0.785,0.353,0.477,9,3.9,2.9,0.86,0.25,0.87,8.2,106.3,105.7
Tyreke Evans,20.3,26.5,0.719,0.356,0.448,10.2,2.9,2.4,0.83,0.28,1.72,8.2,93.9,101.8
Nemanja Bjelica,23.2,16.5,0.761,0.401,0.566,9.6,5.8,1.9,0.7,0.71,1.06,8.2,117.2,102.9
Eric Moreland,9.6,13.5,0,1,0.5,1.8,4.3,1,0.25,0.25,1.25,8.2,86.9,83.5
Spencer Dinwiddie,28.1,24.9,0.806,0.335,0.517,16.8,2.4,4.6,0.59,0.25,2.22,8.1,114.2,104.9
Derrick White,25.8,17.7,0.772,0.338,0.523,9.9,3.7,3.9,1,0.7,1.45,8.1,111.2,104.7
Rondae Hollis-Jefferson,20.9,21.6,0.645,0.184,0.42,8.9,5.3,1.6,0.75,0.46,1.15,8.1,98.8,102.1
Dwight Powell,21.6,17.1,0.772,0.307,0.638,10.6,5.3,1.5,0.56,0.66,0.86,8.1,135.7,100.1
Trey Lyles,17.8,23.4,0.698,0.255,0.471,8.7,3.9,1.4,0.48,0.38,1.08,8.1,100.3,102.9
Derrick Favors,23.2,19.4,0.675,0.218,0.6,11.8,7.4,1.2,0.74,1.39,1.11,8.1,124.5,98.1
Ivan Rabb,14.7,17.2,0.71,0.2,0.554,5.8,4.2,1.1,0.35,0.29,0.71,8.1,118.3,98.3
Alex Len,20.1,22.1,0.648,0.363,0.551,11.1,5.5,1.1,0.35,0.9,1.26,8.1,112.8,104.6
Kosta Koufos,11.9,15.7,0.417,0,0.477,3.7,4.2,0.9,0.36,0.43,0.64,8.1,102,98.2
Ekpe Udoh,6.3,13.1,0.633,0,0.694,2.3,1.8,0.5,0.18,0.61,0.25,8.1,136.2,96.1
Tomas Satoransky,27,14.1,0.819,0.393,0.544,8.9,3.5,5,1.04,0.18,1.5,8,120.7,110.3
Markelle Fultz,22.5,19.3,0.568,0.286,0.432,8.2,3.6,3.1,0.95,0.26,1.32,8,99.4,100.9
Alex Caruso,21.2,19,0.797,0.48,0.514,9.2,2.7,3.1,0.96,0.36,1.68,8,109.6,103.7
Shabazz Napier,17.6,24,0.833,0.333,0.476,9.4,1.8,2.6,0.75,0.29,1.18,8,108.8,106.4
Buddy Hield,31.9,25.2,0.886,0.427,0.56,20.7,5,2.5,0.71,0.39,1.79,8,113.5,108.7
Jeremy Lamb,28.5,22.5,0.888,0.348,0.499,15.3,5.5,2.2,1.11,0.41,1.01,8,113.5,107.7
Wendell Carter Jr.,25.2,19.1,0.795,0.188,0.495,10.3,7,1.8,0.59,1.34,1.5,8,107.9,100.7
Brad Wanamaker,9.5,17.2,0.857,0.41,0.552,3.9,1.1,1.6,0.33,0.06,0.53,8,118.1,102.4
Mitchell Creek,11.5,25.6,0,0,0.5,6,2,1,1,0,1,8,96.4,115.1
Christian Wood,23.6,27,0.756,0.286,0.565,16.9,7.9,0.8,0.88,1.25,1.75,8,113.9,105
Christian Wood,4.7,23.6,0.667,0.6,0.54,2.8,1.5,0.2,0,0,0.23,8,115.2,102.9
Reggie Jackson,27.9,24.5,0.864,0.369,0.504,15.4,2.6,4.2,0.66,0.11,1.8,7.9,111.5,104.8
Alec Burks,28.8,19.2,0.806,0.378,0.466,11.6,5.5,2.9,0.74,0.47,1.35,7.9,107.3,112.7
Noah Vonleh,25.3,14.8,0.712,0.336,0.523,8.4,7.8,1.9,0.66,0.75,1.29,7.9,111.7,103.5
Stanley Johnson,13.7,20.4,0.692,0.324,0.478,5.3,2.3,1.6,0.67,0.06,1.44,7.9,90.4,106.4
Kevon Looney,18.5,12.8,0.619,0.1,0.625,6.3,5.2,1.5,0.56,0.68,0.64,7.9,137,98.5
Clint Capela,33.6,18.1,0.636,0,0.648,16.6,12.6,1.4,0.66,1.52,1.39,7.9,134.3,104
Serge Ibaka,27.2,22.8,0.763,0.29,0.557,15,8.1,1.3,0.39,1.38,1.53,7.9,113.3,98.7
Jakob Poeltl,16.5,13.1,0.533,0,0.647,5.5,5.3,1.2,0.38,0.9,0.62,7.9,135.6,102.6
J.P. Macura,8.4,23.1,0,0,0.333,3,1.5,1,0,0,0,7.9,81.3,116.5
Matthew Dellavedova,19.9,18.4,0.792,0.336,0.502,7.3,1.9,4.2,0.33,0.06,1.58,7.8,107.8,112.1
Ish Smith,22.3,19.9,0.758,0.326,0.463,8.9,2.6,3.6,0.52,0.2,1.09,7.8,105.5,104.6
Brandon Ingram,33.9,23.2,0.675,0.33,0.519,18.3,5.2,3,0.54,0.6,2.5,7.8,104.2,106
Otto Porter Jr.,32.8,21.3,0.906,0.488,0.58,17.5,5.5,2.7,1.2,0.6,1.67,7.8,115.2,110.1
Dante Exum,15.8,21.2,0.791,0.29,0.46,6.9,1.6,2.6,0.33,0.12,1.24,7.8,105,100.6
Troy Brown Jr.,14,16.5,0.681,0.319,0.462,4.8,2.8,1.5,0.4,0.1,0.58,7.8,105,109.4
Quinn Cook,14.3,20.2,0.769,0.405,0.557,6.9,2.1,1.5,0.27,0.04,0.68,7.8,110.1,106.2
Nikola Mirotic,22.9,20.4,0.87,0.356,0.53,11.6,5.4,1.4,0.71,0.64,0.79,7.8,113.7,100.9
Daniel Hamilton,10.7,15.7,0.5,0.348,0.45,3,2.5,1.2,0.32,0.05,0.84,7.8,90.7,107.7
Daniel Theis,13.8,15.8,0.737,0.388,0.598,5.7,3.4,1,0.32,0.62,0.5,7.8,128.9,93
Donatas Motiejunas,4.3,34,0,0,0.5,2,1,0.3,0,0.33,1,7.8,72.8,66.2
D.J. Augustin,28,17.2,0.866,0.421,0.566,11.7,2.5,5.3,0.64,0.05,1.58,7.7,122.7,108.7
Dennis Smith Jr.,28.4,23.3,0.695,0.344,0.499,12.9,3,4.3,1.25,0.34,3.09,7.7,96.6,104.4
Patrick Beverley,27.4,12.1,0.78,0.399,0.526,7.6,4.9,3.9,0.86,0.55,1.1,7.7,119,101.7
Trevor Ariza,34.1,18.2,0.777,0.322,0.502,14.1,5.2,3.8,1.23,0.3,1.53,7.7,109,111.5
Will Barton,27.7,20,0.77,0.342,0.475,11.5,4.6,2.9,0.42,0.51,1.51,7.7,102.3,106.4
Trey Burke,17.4,23,0.837,0.351,0.529,9.7,1.5,2.6,0.48,0.08,0.8,7.7,118.9,109.8
Kyle Kuzma,33.1,23.8,0.752,0.303,0.515,18.7,5.5,2.5,0.57,0.37,1.89,7.7,105.8,106.8
DeAndre' Bembry,23.6,17.2,0.64,0.289,0.486,8.4,4.4,2.5,1.28,0.51,1.73,7.7,97.2,106.2
Kent Bazemore,24.5,22,0.722,0.32,0.472,11.6,3.9,2.3,1.33,0.63,1.81,7.7,98.2,106.3
Josh Jackson,25.2,23.9,0.671,0.324,0.456,11.5,4.4,2.3,0.92,0.71,2.19,7.7,91.8,108
Kelly Olynyk,22.9,18,0.822,0.354,0.563,10,4.7,1.8,0.67,0.46,1.44,7.7,113.9,100.1
Lauri Markkanen,32.3,25.1,0.872,0.361,0.506,18.7,9.1,1.4,0.71,0.63,1.65,7.7,107.4,106.9
Jarrett Allen,26.2,15.9,0.709,0.133,0.595,10.9,8.4,1.4,0.54,1.5,1.3,7.7,123.8,101.5
Dewayne Dedmon,25.1,16.7,0.814,0.382,0.571,10.8,7.5,1.4,1.08,1.13,1.31,7.7,115.4,101.1
Rawle Alkins,12,19,0.667,0.25,0.372,3.7,2.6,1.3,0.1,0,0.8,7.7,93.4,112.5
Richaun Holmes,16.9,17.9,0.731,0,0.608,8.2,4.7,0.9,0.6,1.13,0.74,7.7,127.7,100.2
Devin Robinson,13.5,18,0.643,0,0.594,6.7,2.9,0.9,0.57,0.86,0.29,7.7,127.9,104.4
Henry Ellenson,12.4,18.9,1,0.5,0.5,6,4.5,0.5,0,0,0,7.7,120.1,100
Emanuel Terry,9.8,19.6,0.5,0,0.667,4.5,3,0.5,1.5,0,1,7.7,107.9,88.6
T.J. McConnell,19.3,15,0.784,0.326,0.54,6.4,2.3,3.4,1.04,0.21,1.2,7.6,110.3,105.4
Thaddeus Young,30.7,18,0.644,0.349,0.556,12.6,6.4,2.5,1.52,0.47,1.52,7.6,113.6,101.6
Jonas Jerebko,16.7,15.2,0.8,0.367,0.556,6.3,3.9,1.3,0.37,0.25,0.59,7.6,121.1,101.6
Theo Pinson,11.7,20,0.864,0.261,0.425,4.5,2,1.2,0.33,0,1,7.6,93.9,105.1
Aron Baynes,16.1,15.2,0.855,0.344,0.518,5.6,4.7,1.1,0.24,0.67,0.78,7.6,118.7,95.4
Marvin Bagley III,25.3,24.2,0.691,0.313,0.525,14.9,7.6,1,0.53,0.95,1.58,7.6,111.1,106.4
Henry Ellenson,13.8,19,0.739,0.441,0.5,6,3.4,0.9,0.41,0.12,0.53,7.6,107.7,103.3
Khem Birch,12.9,14,0.699,0,0.603,4.8,3.8,0.8,0.36,0.6,0.38,7.6,135.8,98.9
Ed Davis,17.9,12.7,0.617,0,0.616,5.8,8.6,0.8,0.43,0.41,0.8,7.6,129.1,91.4
Jahlil Okafor,15.8,19.9,0.663,0.2,0.587,8.2,4.7,0.7,0.25,0.68,0.88,7.6,115.1,104.7
Chimezie Metu,5,24.4,0.765,0,0.328,1.8,1.2,0.4,0.21,0.07,0.52,7.6,79.6,101.6
Drew Eubanks,4.9,15.4,0.846,0,0.577,1.8,1.5,0.3,0.09,0.22,0.35,7.6,114.9,101.4
