FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Iman Shumpert,26.2,15.2,0.829,0.366,0.489,8.9,3.1,2.2,1.12,0.48,0.9,6,104.8,107.3
Gary Harris,28.8,20,0.799,0.339,0.489,12.9,2.8,2.2,0.96,0.33,1.18,6,108,107.2
Wilson Chandler,26.4,11.2,0.722,0.39,0.551,6.7,4.6,2,0.61,0.5,1.08,6,111.2,103.7
Chasson Randle,15.2,16.4,0.694,0.4,0.525,5.5,1.1,2,0.51,0.06,0.88,6,107.7,106.9
Damyean Dotson,27.4,17.3,0.745,0.368,0.506,10.7,3.6,1.8,0.79,0.14,0.97,6,105.4,110.7
T.J. Warren,31.6,22.7,0.815,0.428,0.549,18,4,1.5,1.19,0.67,1.21,6,111.4,111.1
Kyle Korver,20,18.7,0.825,0.384,0.547,9.1,2.5,1.2,0.41,0.19,0.78,6,108.7,102.6
Daryl Macon,11.2,17.3,0.571,0.455,0.463,3.6,1.5,0.9,0.13,0,0.75,6,92,105.9
Luol Deng,17.8,15.8,0.714,0.318,0.559,7.1,3.3,0.8,0.68,0.36,0.64,6,116.8,109.8
Chris Chiozza,4.6,12,0,0.4,0.375,0.9,0.6,0.6,0.14,0.14,0.14,6,97.6,109.4
Chris Boucher,5.8,23.6,0.867,0.324,0.526,3.3,2,0.1,0.21,0.86,0.25,6,112.8,87.3
Jose Calderon,13.2,10.9,0.818,0.246,0.433,2.4,1.3,2.4,0.33,0.06,0.73,5.9,102.7,103.4
Bryn Forbes,28,17.4,0.885,0.426,0.567,11.8,2.9,2.1,0.55,0.05,0.98,5.9,112.8,108.2
Royce O'Neale,20.4,11,0.762,0.386,0.574,5.2,3.5,1.5,0.66,0.3,0.85,5.9,108.7,98.1
Corey Brewer,19.9,18.8,0.692,0.286,0.449,7.6,2.4,1.4,1.71,0.29,1.14,5.9,96,99.2
Maurice Harkless,23.6,13.9,0.671,0.275,0.53,7.7,4.5,1.2,1.12,0.92,0.75,5.9,114.4,100.5
David Nwaba,19.3,14.6,0.682,0.32,0.525,6.5,3.2,1.1,0.71,0.33,0.57,5.9,114.8,108
Maxi Kleber,21.2,13.5,0.784,0.353,0.553,6.8,4.6,1,0.51,1.11,0.76,5.9,115.7,103
Mike Muscala,15.6,14.3,0.875,0.368,0.56,5.9,2.6,0.8,0.24,0.71,0.29,5.9,117.2,107.3
Antonio Blakeney,14.5,24.5,0.658,0.396,0.465,7.3,1.9,0.7,0.21,0.16,0.61,5.9,94.6,113.2
Mitchell Robinson,20.6,12.1,0.6,0,0.694,7.3,6.4,0.6,0.79,2.44,0.53,5.9,141.4,97.9
Isaiah Hartenstein,7.9,11.8,0.786,0.333,0.512,1.9,1.7,0.5,0.25,0.43,0.46,5.9,114.6,87.8
Udonis Haslem,7.5,21.7,0.75,0,0.333,2.5,2.7,0.2,0,0,0.3,5.9,77.3,95.1
Brandon Knight,22.9,17.5,0.783,0.371,0.498,8.5,1.9,2.3,0.7,0.07,0.93,5.8,106.1,113.3
Danny Green,27.7,14,0.841,0.456,0.623,10.3,4,1.6,0.91,0.66,0.94,5.8,119.6,103.7
Brook Lopez,28.7,16.7,0.842,0.365,0.571,12.5,4.9,1.2,0.6,2.21,1.02,5.8,112.7,100.6
Jonathan Isaac,26.6,16.3,0.815,0.323,0.499,9.6,5.5,1.1,0.79,1.29,1.01,5.8,107.1,103.7
Dwayne Bacon,17.6,16.8,0.739,0.437,0.549,7.3,2.1,1.1,0.28,0.12,0.42,5.8,114.3,107.2
Justin Jackson,18.3,17,0.724,0.372,0.568,8.2,2.3,1,0.31,0.03,0.24,5.8,121.8,109.2
Rodions Kurucs,20.5,18.4,0.783,0.315,0.514,8.5,3.9,0.8,0.67,0.43,1.22,5.8,102.5,100.6
Nik Stauskas,14.3,16.9,0.893,0.429,0.491,5.5,2,0.8,0.29,0.13,0.46,5.8,112,115.2
Reggie Bullock,30.8,16.7,0.875,0.388,0.542,12.1,2.8,2.5,0.55,0.11,1.23,5.7,113,108.7
Rodney Hood,27.4,19.1,0.912,0.362,0.488,12.2,2.5,2,0.84,0.11,0.8,5.7,113.3,112.6
Robert Covington,34.7,16.5,0.773,0.372,0.545,14.5,5.7,1.5,2.27,1.05,1.14,5.7,114.7,103.3
Jawun Evans,9.1,12.8,0,0,0.231,0.9,1.7,1.4,0.43,0,0.86,5.7,60,104.3
Harrison Barnes,32.3,23.7,0.833,0.389,0.489,17.7,4.2,1.3,0.67,0.22,1.39,5.7,106,109.5
Marvin Williams,28.4,14.9,0.767,0.366,0.529,10.1,5.4,1.2,0.92,0.8,0.61,5.7,112.7,107.2
Dorian Finney-Smith,24.5,14,0.709,0.311,0.507,7.5,4.8,1.2,0.86,0.46,0.91,5.7,109.7,103.5
Pau Gasol,10.1,12.2,0.5,0.333,0.25,1.3,3.3,0.7,0,0.33,0.67,5.7,59,102.7
Nene,13,11.7,0.66,0,0.517,3.6,2.9,0.6,0.43,0.36,0.26,5.7,122.5,96.5
Dwight Howard,25.5,19.6,0.604,0,0.623,12.8,9.2,0.4,0.78,0.44,1.78,5.7,116.6,98.6
Jon Leuer,9.8,16.1,0.742,0.083,0.583,3.8,2.4,0.3,0.29,0.1,0.56,5.7,112.6,95.4
John Jenkins,3.6,5.9,0,1,1.5,1.5,0.3,0.3,0,0,0,5.7,,
Dzanan Musa,4.4,28.7,0,0.1,0.432,2.1,0.6,0.2,0.22,0,0.44,5.7,75,109.9
