FULL NAME,GP,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Zeke Nnaji,5,3.5,21.8,0.5,0.429,0.688,2.4,0.4,0.4,0.2,0,0,8.3,,
Nerlens Noel,5,18.4,10.1,0.813,0,0.5,4.6,4,0.2,0.8,0.6,0.8,3.4,132.5,93.9
Reggie Perry,5,4.4,32.7,0,0.4,0.615,3.2,1.2,0.2,0.2,0,0.6,8.3,106.4,97.5
Payton Pritchard,5,13.5,13.1,1,0.3,0.441,3.4,2,2.4,0.4,0,0.6,7.5,114.6,112.3
Immanuel Quickley,5,15.4,24.2,0.714,0.364,0.364,5.8,1.4,1,0.6,0,1.2,5.2,78.1,101.6
Julius Randle,5,36.1,31.7,0.852,0.333,0.356,18,11.6,4,0.6,0,4.6,10.4,85.3,98.5
Derrick Rose,5,35,24.3,1,0.471,0.524,19.4,4,5,0.4,0.2,1.6,8.3,114.9,112.1
Mike Scott,5,6.9,11.3,0,0.286,0.333,1.2,0.6,0.6,0.2,0.2,0,4.4,94.8,105.1
Marcus Smart,5,36.6,20.6,0.714,0.372,0.561,17.8,4.4,6,1,0.2,2.8,8.5,116.8,110.6
Ish Smith,5,22.3,18,0,0.286,0.395,6.8,3.2,2.8,1.4,0.4,1,7.1,86.5,104.7
Jayson Tatum,5,37,33.3,0.918,0.389,0.486,30.6,5.8,4.6,1.2,1.6,2.6,10.1,118,108.5
Tristan Thompson,5,26.4,14.9,0.706,0,0.588,10.4,9.8,1,0.8,1.2,1,7.1,138.2,107.2
Obi Toppin,5,13.1,19.5,0.833,0.333,0.587,6.4,2.6,0.4,0,0.2,0.6,5.7,119.8,104.1
Jonas Valanciunas,5,33.1,18.2,0.875,0.25,0.586,15,9.8,2.6,0.6,0.6,2,8.8,120.2,104.2
Russell Westbrook,5,37.2,27.8,0.791,0.25,0.363,19,10.4,11.8,0.4,0.2,4.2,14.3,104.4,106.8
Grant Williams,5,11.4,11.4,1,0.4,0.538,3.4,2,0.8,0.2,0.8,0.2,6.2,132.3,105.1
Justin Jackson,5,3,17.4,0,0,0.6,1.2,0.4,0.2,0.2,0,0.2,6.1,,
Kris Dunn,5,6.6,14.5,1,0,0.2,1.2,1,1,0.4,0.4,0.8,6.4,79.3,97
Jordan Nwora,5,6.2,30.5,0.714,0.25,0.278,3,1.8,0.2,0,0.2,0.2,6.6,90.9,112.8
Abdel Nader,5,5.8,9.5,0,0,0.333,0.8,1,0,0,0,0,0,69.8,104.3
Bam Adebayo,4,34,23.8,0.769,0,0.456,15.5,9.3,4.3,1.25,0.5,2.75,10,103.4,104.6
Trevor Ariza,4,24,11.9,0,0.294,0.413,4.8,5.8,0.5,0.75,0.25,0.75,4,81,99.7
Davis Bertans,4,26.5,12.3,1,0.348,0.556,9.3,2.8,0.3,0.25,0.5,0.25,3,122.9,107.1
Isaac Bonga,4,2.4,22,0,0,0,0,0,0,0,0.25,0,0,,
Jimmy Butler,4,38.6,23.5,0.727,0.267,0.328,14.5,7.5,7,1.25,0.25,2.25,9.5,93.3,110.2
Dewayne Dedmon,4,14.3,20.1,0.8,0.333,0.583,6.3,4.5,0.8,0,0.5,1.5,7.9,109.8,96.1
Goran Dragic,4,29.2,24.6,0.75,0.346,0.509,16,1.8,2.8,1,0.5,1.5,5.9,104.6,106.8
Trent Forrest,4,2.4,18.7,0,0,0.5,1,0,0,0,0,0,0,,
Anthony Gill,4,8.2,7.6,0,0,0,0,1,0,0,0,0.75,0,13.6,97.7
Montrezl Harrell,4,9.8,22.7,0.778,0,0.571,5.8,2.5,0,0.5,0,0.5,0,126,101.6
Tyler Herro,4,23.2,20.9,1,0.316,0.395,9.3,3.3,1.8,0.25,0.25,0.75,6.6,95.2,114.3
Talen Horton-Tucker,4,12.1,27,0.6,0.2,0.479,6.5,3.5,0.5,0.25,0,0.75,7.4,95.2,102.1
Andre Iguodala,4,17.8,9.9,0,0.429,0.682,3.8,3,1.3,1,0.5,1.25,5.5,105.4,101
Isaiah Joe,4,2.4,13.7,0,0,0.333,0.5,0,0.3,0,0,0,0,,
Romeo Langford,4,27.2,13.5,1,0.353,0.5,9,2.5,1.3,0.75,0.5,0.25,4.5,121,118.7
Boban Marjanovic,4,20.9,25.5,0.778,0,0.513,11.8,8,1,0,0.25,1,8.7,118.5,99.3
JaVale McGee,4,8.5,17.6,0.333,0,0.3,2,3,0.8,0.25,1.25,0.25,7.9,86.6,100.4
Ben McLemore,4,8.9,12.5,0,0.333,0.333,1.5,1.8,0.3,0.25,0,0.25,4.2,74.7,95.2
Markieff Morris,4,9.5,16,0.667,0.25,0.278,2.3,1,0.8,0,0.25,0.5,5.2,95.5,99.2
Kendrick Nunn,4,23.3,22.1,1,0.278,0.453,10.3,1.5,1.5,0.5,0,0.75,4.9,92.4,113.1
Jabari Parker,4,14.8,21.8,0.75,0.4,0.667,8.5,3.8,0.5,0,0.75,1.5,6.8,112.1,104.2
Duncan Robinson,4,24.9,16.5,0.9,0.37,0.552,10.3,2.8,0.8,0.75,0,1,4.6,111.4,101.2
Axel Toupane,4,2.5,17.5,0,0.5,0.625,1.3,1,0,0,0,0,0,,
Cam Reddish,4,23,20.8,0.8,0.643,0.653,12.8,3.5,1.8,1.5,0.5,1.25,7.5,121.3,100.7
Precious Achiuwa,3,4.1,34.8,0.25,0,0.75,2.3,2,0,0,0.67,1.33,0,56.6,97.3
Will Barton,3,27.7,25.5,1,0.333,0.523,16.3,4.3,2.7,0.67,0.33,1.33,8.3,109.5,112.5
Bol Bol,3,2,7.4,0,0,0,0,0.3,0.7,0,0,0,0,,
Donte DiVincenzo,3,23.3,13.5,0,0.167,0.25,2.7,6.3,2.7,1,0.33,2,6.1,63.4,104.6
T.J. Leaf,3,2.5,24.1,0,0,0.75,2,1,0,0,0,0,0,,
Nassir Little,3,3,33.5,0.5,0.25,0.375,1.7,0.3,0,0,0.33,0.33,0,,
Garrison Mathews,3,5.7,15.2,0.8,0,0,1.3,0.7,0,0,0,0,0,76,94.9
Nicolo Melli,3,6.4,9.5,0,0,0,0,2,0,0.33,0,0,0,42.2,96.1
Frank Ntilikina,3,1.2,12.7,0,0,0,0,0,0,0,0,0,0,,
Paul Reed,3,3.5,16.4,0,0,0.5,1.3,2.7,0,0,0.33,0,0,,
Matt Thomas,3,2.3,12.8,0,0,0,0,0.3,0,0,0,0,0,,
Xavier Tillman,3,5.9,14.3,0,0,0.2,0.7,1,0.3,0.33,0,0.33,4,56.3,103
Gabe Vincent,3,4.7,12.4,0,0.5,0.833,1.7,0.3,0.7,0,0,0.33,6,128,119.2
Kemba Walker,3,30.3,24.9,0.9,0.176,0.354,12.7,4,4,0.33,0,2.67,7.8,87.2,107
Tremont Waters,3,2,52.5,0.667,0,0.25,1.3,0,0.7,0.33,0,0.67,0,,
Robert Williams III,3,15.2,14.7,0.5,0,0.643,6.3,5,0.7,0.33,3,0.33,7.4,139.8,100.2
Nemanja Bjelica,2,15.2,19.8,0.667,0.5,0.636,9,2.5,1,1,0.5,0,7.4,138.9,94.2
Keljin Blevins,2,2,23.1,0,0,0.5,1,0,0,0,0,0,0,,
Jarrell Brantley,2,1.7,37.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0,,
Trey Burke,2,8.3,21.5,0.5,0,0,0.5,0.5,0.5,0,0,0,2.4,34.7,116.6
Brandon Clarke,2,4.8,8.9,0,0,0.5,1,0.5,0,0,0.5,0,0,102.4,119
Jared Dudley,2,2.5,0,0,0,,0,0,0,0,0,0,0,,
Carsen Edwards,2,2.7,23.5,0,0.5,0.833,2.5,0.5,0,0,0,0,0,,
CJ Elleby,2,4,11.3,0,0,0,0,1.5,0.5,0,0,0.5,0,59.2,119
Langston Galloway,2,7.4,23.1,0,0,0.143,1,1,0.5,0,0.5,0,4.3,38.6,109.3
Chandler Hutchison,2,9.1,15.8,1,0,0.4,3,1.5,0.5,0,0,0.5,5.8,96.6,112.2
