Player,PER,TS%,TRB%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Devontae Cacok,20.2,0.675,18.2,12.9,0.3,0.3,0.5,0.7,3.5,4.2,0.2
Kentavious Caldwell-Pope,12.6,0.568,6.2,19,1.4,1.4,2.8,-0.9,-0.6,-1.5,0.3
Facundo Campazzo,11.1,0.503,5.5,14.7,0.6,1.3,2,-2.1,1.3,-0.8,0.4
Vlatko Čančar,12.7,0.657,9.8,14,0.3,0.1,0.4,-0.9,-0.9,-1.7,0
Devin Cannady,8.6,0.531,2.2,15.5,0,0.1,0.1,-2.8,-0.4,-3.2,0
Clint Capela,21.4,0.604,23.5,15.5,5.6,2.7,8.3,2.1,-0.1,2,2.1
Vernon Carey Jr.,15.8,0.534,14.8,21.6,0,0,0.1,-3,-4.5,-7.5,-0.1
Jevon Carter,9.6,0.531,6.6,14,0.5,0.7,1.2,-1.8,-0.4,-2.2,-0.1
Wendell Carter Jr.,18.4,0.601,18.5,20.9,2.6,2.4,5,1,0.6,1.6,1.7
Alex Caruso,11.7,0.528,7.3,13.3,0.7,1.2,2,-2.2,2.3,0.2,0.6
Willie Cauley-Stein,8.3,0.474,12.2,10.6,0,0.3,0.2,-4.1,1.1,-3,0
Ahmad Caver,76.2,1,0,42.8,0,0,0,31,5.9,36.9,0
Justin Champagnie,13.6,0.571,13.9,12,0.5,0.3,0.8,-1.3,-0.7,-2,0
Zylan Cheatham,-23.8,0,0,26.1,-0.1,0,-0.1,-19.3,-11.3,-30.6,0
Chris Chiozza,4.4,0.407,5.3,13.4,-0.5,0.5,0,-5.7,-0.2,-6,-0.4
Marquese Chriss,14.8,0.518,16.5,21.5,0.2,0.6,0.8,-3.8,0,-3.8,-0.2
Josh Christopher,12.2,0.534,7.7,21.1,-0.4,0.7,0.3,-2.2,-1.3,-3.5,-0.5
Gary Clark,11.4,0.547,13.2,11.6,0.3,0.4,0.7,0.1,0,0.1,0.2
Brandon Clarke,23.7,0.66,14.4,17.7,4.4,1.9,6.3,3.1,1.1,4.2,2
Jordan Clarkson,14.9,0.532,7,26.8,1.5,2,3.5,0.5,-1.2,-0.6,0.7
Nic Claxton,18.6,0.672,14.8,15.1,2.3,1.2,3.5,0.3,0.2,0.5,0.6
Amir Coffey,13,0.598,6.7,15.8,2.3,1.5,3.8,-0.3,0,-0.3,0.7
