Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Cameron Payne,17.4,0.602,19.8,2.4,1.2,3.6,0.158,2.1,1,3.1,1.4
Elfrid Payton,11.7,0.478,23.2,-0.9,1.9,1,0.032,-2.9,-0.1,-3,-0.4
Gary Payton II,29.2,0.847,16.8,0.2,0.1,0.3,0.331,1,8.2,9.2,0.1
Norvel Pelle,11.6,0.567,10.8,0.1,0.1,0.2,0.112,-4.5,1.9,-2.6,0
Reggie Perry,11,0.466,20.4,-0.1,0.2,0.2,0.04,-5.3,-1.4,-6.7,-0.2
Theo Pinson,-8.1,0.111,13.1,-0.2,0,-0.1,-0.205,-13.2,-2.5,-15.7,-0.1
Mason Plumlee,18.7,0.638,16.3,3,2.1,5.1,0.164,0.2,2,2.2,1.6
Jakob Poeltl,17.5,0.612,13.4,3.2,2.5,5.7,0.148,-0.5,1.2,0.8,1.3
Vincent Poirier,1.6,0.273,20.6,-0.2,0.1,-0.1,-0.127,-12.3,-2.4,-14.8,-0.1
Aleksej Pokusevski,6.1,0.43,20.5,-2.9,1,-1.9,-0.084,-5.1,-1,-6.1,-1.1
Jordan Poole,15.1,0.581,25,1.1,0.9,1.9,0.094,0.7,-1.2,-0.5,0.4
Jontay Porter,9.2,0.64,18.9,-0.1,0.1,0,0.019,-6.8,0.3,-6.5,-0.1
Kevin Porter Jr.,12.5,0.528,25.4,-0.3,0.3,0,0,-1.1,-2.4,-3.5,-0.3
Michael Porter Jr.,20.6,0.663,21.7,4.8,2.1,6.9,0.173,4,-0.9,3.1,2.5
Otto Porter Jr.,14.5,0.552,19.3,0.6,0.7,1.3,0.101,0,0,0,0.3
Bobby Portis,19.9,0.598,20.9,2.8,2,4.8,0.167,1.8,-0.4,1.5,1.2
Kristaps Porziņģis,21.3,0.582,26.5,2.6,1.7,4.3,0.154,3,-0.8,2.2,1.4
Dwight Powell,16.8,0.688,13.2,2.6,1.2,3.8,0.188,-0.7,1.3,0.6,0.6
Norman Powell,16.2,0.618,22.6,3.4,1.3,4.7,0.103,1.1,-0.7,0.4,1.3
Taurean Prince,12.1,0.54,19.6,0.2,0.8,1,0.052,-1.2,-0.6,-1.8,0
Payton Pritchard,12.4,0.582,16.7,1.6,0.9,2.5,0.095,-0.3,-0.4,-0.7,0.4
Immanuel Quickley,15.8,0.557,25.6,1.8,1.4,3.2,0.125,1.4,-0.5,0.9,0.9
Jahmi'us Ramsey,10.5,0.498,19.8,0,0,0,0.012,-3.1,-1.4,-4.5,-0.1
Chasson Randle,7.4,0.515,15.7,-0.4,0.4,0,-0.001,-4.8,-1.1,-5.9,-0.8
Julius Randle,19.7,0.567,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9
Cam Reddish,9.3,0.488,19.3,-0.3,0.7,0.4,0.026,-3.3,0.1,-3.2,-0.2
J.J. Redick,9.9,0.564,19.2,0.4,0.3,0.7,0.045,-1.4,-2.1,-3.5,-0.3
Paul Reed,21.2,0.54,22.7,0.2,0.4,0.6,0.162,-1.8,0.8,-1,0
Naz Reid,18.2,0.599,22.5,1.9,1.3,3.2,0.113,-0.1,-0.2,-0.2,0.6
Cameron Reynolds,6.5,0.417,19.2,0,0,0,-0.039,-3.5,-4.6,-8.1,-0.1
Nick Richards,5.5,0.542,11.5,0,0,0,0.026,-5.9,-2.1,-8,-0.1
Josh Richardson,11.9,0.537,18.4,1,1.4,2.4,0.066,-1.5,-0.2,-1.7,0.1
Grant Riller,23.6,0.75,20.7,0.1,0,0.1,0.177,4.6,0.5,5.1,0
Austin Rivers,9.9,0.551,15.4,0.4,0.9,1.3,0.072,-2.2,0.3,-1.9,0
Andre Roberson,4.2,0.202,11.7,-0.1,0.1,-0.1,-0.043,-5.2,-0.9,-6.1,-0.1
Duncan Robinson,11,0.628,16.6,1.9,1.8,3.7,0.079,-0.2,-0.8,-1,0.6
Glenn Robinson III,9,0.554,14,0.3,0,0.3,0.033,-1.9,-2.2,-4,-0.2
Jerome Robinson,4.1,0.4,16.7,-0.7,0.3,-0.4,-0.057,-6.9,-0.1,-7,-0.4
Justin Robinson,6,0.453,12.2,0,0,0,0.021,-5.8,-1,-6.8,-0.1
Mitchell Robinson,17.7,0.642,11.8,1.8,1.7,3.4,0.192,-0.3,1.5,1.2,0.7
Isaiah Roby,11.9,0.555,17.7,-0.3,1.5,1.3,0.043,-3.7,0.4,-3.3,-0.5
Rajon Rondo,13.2,0.544,17.2,0.5,0.8,1.3,0.081,-0.5,0.3,-0.2,0.4
Derrick Rose,18.3,0.55,25.8,1.6,1.6,3.1,0.118,1.6,0.3,1.9,1.3
Terrence Ross,13.2,0.53,24.1,-0.1,1,0.9,0.03,-1.4,-0.8,-2.3,-0.1
Terry Rozier,17.1,0.575,24.4,3.3,2,5.2,0.105,2.2,-0.5,1.6,2.2
Ricky Rubio,13.5,0.516,16,1.9,1.3,3.1,0.085,-1.9,0,-1.9,0
D'Angelo Russell,17.6,0.555,29.1,1,0.6,1.6,0.063,3.3,-1.7,1.6,1.1
Domantas Sabonis,20.6,0.601,24.1,4,3,6.9,0.149,2.3,1.6,3.8,3.3
Luka Šamanić,9.8,0.518,19.5,-0.2,0.3,0.1,0.015,-4.2,-0.7,-4.9,-0.2
JaKarr Sampson,10.9,0.533,19,0,0.3,0.3,0.044,-5.2,-2.3,-7.5,-0.4
Dario Šarić,14.3,0.567,22.6,0.7,1,1.7,0.093,-1.4,-0.6,-2,0
Tomáš Satoranský,13.8,0.614,15.2,1.9,1.1,3.1,0.113,-0.6,0.1,-0.5,0.5
Dennis Schröder,13.8,0.543,22.9,1,2.7,3.8,0.093,-1.3,0.1,-1.2,0.4
Mike Scott,6.8,0.492,11.9,-0.1,1.1,1,0.058,-3.2,0.3,-2.8,-0.2
Jay Scrubb,6.3,0.458,23.8,-0.2,0.1,-0.1,-0.072,-8.1,-2.8,-10.9,-0.2
